topicId,rank,docId,filename
1,1,38,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/meyer_twilight_ch1.txt
1,2,40,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/meyer_twilight_ch2.txt
1,3,39,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/meyer_twilight_ch15.txt
1,4,19,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/conrad_secret_ch2.txt
1,5,21,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/doyle_redheadedleague.txt
1,6,22,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/doyle_scandalbohemia.txt
1,7,41,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/meyer_twilight_ch21.txt
1,8,20,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/doyle_caseofidentity.txt
1,9,36,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/lewis_lionwitch_ch14.txt
1,10,13,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_angels_ch2_4.txt
1,11,15,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_davinci_ch1.txt
1,12,25,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eliot_middlemarch_ch48.txt
1,13,35,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/lewis_lionwitch_ch12.txt
1,14,12,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_angels_ch1.txt
1,15,33,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/grimms_wateroflife.txt
1,16,24,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eliot_middlemarch_ch2.txt
1,17,32,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/grimms_snowdrop.txt
1,18,7,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/austen_sense_ch27.txt
1,19,27,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eljames_fiftyshades_ch1.txt
1,20,23,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eliot_middlemarch_ch1.txt
1,21,14,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_davinci_ch0.txt
1,22,34,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/lewis_lionwitch_ch1.txt
1,23,31,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/grimms_hanselgretel.txt
1,24,18,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/conrad_secret_ch1.txt
1,25,11,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/barrie_peterpan_ch2.txt
1,26,10,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/barrie_peterpan_ch15.txt
1,27,29,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eljames_fiftyshades_ch2.txt
1,28,9,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/barrie_peterpan_ch1.txt
1,29,43,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/stevenson_treasure_ch2.txt
1,30,42,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/stevenson_treasure_ch1.txt
1,31,17,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_davinci_ch92.txt
1,32,8,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/austen_sense_ch41.txt
1,33,26,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eliot_middlemarch_ch73.txt
1,34,37,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/lewis_lionwitch_ch2.txt
1,35,16,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/brown_davinci_ch77.txt
1,36,28,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/eljames_fiftyshades_ch18.txt
1,37,3,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/austen_pride_ch40.txt
1,38,1,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/austen_pride_ch1.txt
1,39,4,/Users/lynn/Documents/Talks/TopicsPythonGephi/./data/verb_mixed/austen_pride_ch50.txt
